"N03_007",,,"総数","300万円未満","300～500","500～700","700～1000","1000万円以上"
"01100",,"札幌市","863,550","346,350","223,910","107,820","67,390","30,620"
"01101",,"中央区","116,680","39,320","23,470","13,460","10,410","8,190"
"01102",,"北区","121,860","48,280","32,150","16,850","9,100","3,950"
"01103",,"東区","116,520","48,760","30,340","13,190","7,970","2,590"
"01104",,"白石区","102,470","47,360","27,560","10,250","5,800","1,940"
"01105",,"豊平区","106,080","47,790","28,170","12,520","7,450","3,150"
"01106",,"南区","60,170","25,540","16,760","7,730","4,600","1,790"
"01107",,"西区","91,870","38,010","25,020","12,400","7,660","3,470"
"01108",,"厚別区","52,920","16,740","13,200","6,780","4,840","2,120"
"01109",,"手稲区","52,600","19,400","15,420","7,160","4,840","1,490"
"01110",,"清田区","42,380","15,140","11,820","7,470","4,720","1,940"
"01202",,"函館市","122,130","56,790","27,860","12,210","6,870","3,060"
"01203",,"小樽市","53,080","29,560","13,180","5,450","2,840","1,080"
"01204",,"旭川市","152,480","73,700","41,310","19,690","10,880","4,200"
"01205",,"室蘭市","43,410","21,060","10,360","5,040","2,650","1,110"
"01206",,"釧路市","80,210","38,730","20,390","9,470","4,890","1,700"
"01207",,"帯広市","72,860","34,390","20,660","8,850","4,490","2,380"
"01208",,"北見市","52,740","24,590","14,460","6,640","3,360","1,230"
"01209",,"夕張市","4,700","3,100","1,030","360","110","90"
"01210",,"岩見沢市","37,140","17,560","10,460","4,980","2,360","940"
"01211",,"網走市","16,550","7,800","4,050","2,190","1,050","540"
"01212",,"留萌市","10,760","5,170","2,750","1,270","650","210"
"01213",,"苫小牧市","74,860","31,990","21,390","10,690","6,600","2,040"
"01214",,"稚内市","16,100","6,670","4,590","2,230","1,050","550"
"01215",,"美唄市","10,030","5,670","2,340","1,140","530","300"
"01216",,"芦別市","7,590","4,710","1,870","550","290","160"
"01217",,"江別市","50,230","19,760","13,090","7,250","3,460","1,230"
"01218",,"赤平市","5,030","3,100","1,140","430","250","60"
"01219",,"紋別市","11,260","5,220","2,870","1,230","750","310"
"01220",,"士別市","9,050","4,520","2,310","1,130","660","250"
"01221",,"名寄市","12,540","6,060","3,310","1,630","1,010","350"
"01222",,"三笠市","4,570","2,840","1,050","400","140","30"
"01223",,"根室市","11,550","5,070","3,040","1,660","1,070","510"
"01224",,"千歳市","38,680","14,870","12,170","6,780","3,060","850"
"01225",,"滝川市","18,190","9,370","5,070","2,140","1,010","450"
"01226",,"砂川市","7,990","3,730","2,160","950","490","200"
"01227",,"歌志内市","1,960","1,280","450","160","60","10"
"01228",,"深川市","9,890","5,160","2,630","1,150","600","340"
"01229",,"富良野市","9,560","4,720","2,290","1,350","580","290"
"01230",,"登別市","22,090","11,120","6,210","2,460","1,360","410"
"01231",,"恵庭市","27,030","11,160","7,980","4,560","2,030","610"
"01233",,"伊達市","15,470","7,850","4,330","1,820","1,080","370"
"01234",,"北広島市","22,170","7,990","6,890","3,290","2,180","780"
"01235",,"石狩市","23,240","9,110","7,390","3,610","1,730","610"
"01236",,"北斗市","18,570","8,450","5,420","2,540","1,470","330"
"01303",,"当別町","6,730","2,970","1,970","920","470","260"
"01337",,"七飯町","11,550","5,600","3,400","1,550","540","330"
"01345",,"森町","6,590","3,620","1,730","500","440","290"
"01346",,"八雲町","7,690","3,900","2,010","920","620","200"
"01400",,"倶知安町","6,530","2,610","1,830","1,220","470","170"
"01408",,"余市町","9,040","5,130","1,930","650","460","240"
"01543",,"美幌町","8,720","4,360","2,110","1,040","650","220"
"01555",,"遠軽町","9,920","5,110","2,390","910","480","190"
"01578",,"白老町","8,360","4,760","2,230","860","270","120"
"01610",,"新ひだか町","10,780","5,180","3,310","1,280","730","260"
"01631",,"音更町","18,610","8,210","4,920","2,930","1,570","640"
"01637",,"芽室町","6,810","2,180","2,040","1,310","700","450"
"01643",,"幕別町","10,710","4,520","2,860","1,750","1,030","550"
"01661",,"釧路町","8,250","3,850","2,310","1,050","580","210"
"01691",,"別海町","5,740","2,080","1,480","970","680","490"
"01692",,"中標津町","10,360","4,130","3,480","1,230","1,000","420"
"02201",,"青森市","115,170","49,990","30,230","15,490","8,880","3,140"
"02202",,"弘前市","70,700","37,370","16,010","7,860","4,520","2,210"
"02203",,"八戸市","90,740","40,730","23,780","12,500","6,260","2,840"
"02204",,"黒石市","11,280","5,460","3,090","1,480","880","370"
"02205",,"五所川原市","21,030","11,710","5,370","2,110","1,180","580"
"02206",,"十和田市","25,540","12,840","6,040","3,070","1,650","730"
"02207",,"三沢市","15,190","6,650","4,120","2,190","1,200","520"
"02208",,"むつ市","23,790","12,140","6,150","3,200","1,390","560"
"02209",,"つがる市","11,540","6,190","2,780","1,170","750","440"
"02210",,"平川市","10,240","4,940","2,890","1,370","670","340"
"02361",,"藤崎町","5,040","2,480","1,290","710","330","160"
"02381",,"板柳町","4,680","2,960","1,010","430","170","50"
"02402",,"七戸町","5,560","2,880","1,140","910","410","210"
"02408",,"東北町","5,990","2,660","1,780","730","460","320"
"02412",,"おいらせ町","8,870","3,890","2,670","1,280","790","210"
"02442",,"五戸町","6,140","3,000","1,660","770","400","290"
"02445",,"南部町","6,200","3,040","1,730","800","450","120"
"03201",,"盛岡市","123,460","48,520","32,290","16,520","11,920","5,960"
"03202",,"宮古市","22,170","12,020","5,710","2,430","1,270","610"
"03203",,"大船渡市","14,020","5,930","3,710","2,220","1,230","680"
"03205",,"花巻市","32,190","12,970","9,530","4,940","2,980","1,230"
"03206",,"北上市","34,760","13,600","10,300","5,780","3,360","1,370"
"03207",,"久慈市","13,610","7,370","3,670","1,560","710","300"
"03208",,"遠野市","9,580","4,790","2,550","1,130","720","340"
"03209",,"一関市","41,630","18,390","11,440","5,480","3,760","1,920"
"03210",,"陸前高田市","7,010","3,180","2,210","770","610","240"
"03211",,"釜石市","15,400","8,270","3,920","1,780","880","450"
"03213",,"二戸市","10,070","4,950","2,830","1,260","550","340"
"03214",,"八幡平市","9,480","4,750","2,570","1,100","710","340"
"03215",,"奥州市","41,050","16,740","11,670","6,150","3,510","1,970"
"03301",,"雫石町","5,250","1,880","1,700","810","550","320"
"03305",,"滝沢村","21,070","8,150","6,300","3,430","1,830","720"
"03321",,"紫波町","10,490","3,440","3,300","1,850","1,280","410"
"03322",,"矢巾町","9,920","3,900","2,830","1,580","1,150","300"
"03381",,"金ケ崎町","4,920","1,740","1,420","730","760","240"
"03461",,"大槌町","4,610","2,340","1,340","520","180","150"
"03482",,"山田町","5,710","3,450","1,460","550","180","70"
"03507",,"洋野町","5,730","3,170","1,580","700","200","80"
"04100",,"仙台市","504,690","165,230","117,220","65,680","45,720","23,730"
"04101",,"青葉区","165,740","58,320","31,330","18,280","13,370","8,250"
"04102",,"宮城野区","86,840","32,520","24,690","13,910","8,960","2,790"
"04103",,"若林区","60,250","19,570","15,080","7,410","4,480","2,800"
"04104",,"太白区","102,040","30,490","23,270","13,430","8,110","4,390"
"04105",,"泉区","89,820","24,330","22,850","12,650","10,800","5,500"
"04202",,"石巻市","54,070","24,290","15,000","7,420","4,220","1,920"
"04203",,"塩竃市","20,780","8,900","5,800","3,000","1,730","770"
"04205",,"気仙沼市","23,600","11,030","6,200","3,470","1,840","540"
"04206",,"白石市","12,710","5,280","3,750","1,930","1,040","620"
"04207",,"名取市","25,960","6,130","7,460","4,890","3,690","1,810"
"04208",,"角田市","9,750","3,820","2,640","1,580","930","540"
"04209",,"多賀城市","24,630","7,800","7,530","4,000","2,720","900"
"04211",,"岩沼市","15,950","5,470","4,870","2,670","1,890","670"
"04212",,"登米市","24,640","10,240","7,010","3,640","2,350","1,200"
"04213",,"栗原市","22,450","8,860","6,600","3,530","2,140","1,000"
"04214",,"東松島市","13,810","5,330","4,200","2,170","1,310","580"
"04215",,"大崎市","45,810","17,820","14,340","6,860","3,830","2,490"
"04321",,"大河原町","8,860","3,430","2,740","1,330","580","360"
"04323",,"柴田町","15,080","5,810","3,860","2,000","1,210","680"
"04341",,"丸森町","4,530","1,840","1,320","720","440","190"
"04361",,"亘理町","10,540","3,610","3,200","1,990","1,180","560"
"04362",,"山元町","4,350","1,980","1,270","590","320","130"
"04401",,"松島町","4,550","1,760","1,260","740","530","210"
"04404",,"七ケ浜町","5,940","1,580","1,980","1,290","610","380"
"04406",,"利府町","11,740","3,190","3,660","2,370","1,620","650"
"04421",,"大和町","8,970","1,820","3,340","1,850","1,070","400"
"04423",,"富谷町","16,550","3,690","5,030","3,680","2,440","1,360"
"04445",,"加美町","7,540","2,730","2,320","910","620","530"
"04501",,"涌谷町","5,230","2,080","1,880","580","500","190"
"04505",,"美里町","8,460","3,590","2,550","1,030","860","410"
"04606",,"南三陸町","4,900","2,590","1,070","660","330","210"
"05201",,"秋田市","138,620","56,980","35,060","20,850","11,920","4,990"
"05202",,"能代市","22,410","11,660","6,190","2,350","1,340","710"
"05203",,"横手市","32,090","13,980","9,030","4,500","2,790","1,220"
"05204",,"大館市","27,880","12,950","7,250","3,750","2,260","940"
"05206",,"男鹿市","11,370","6,340","2,920","1,170","500","290"
"05207",,"湯沢市","16,450","7,850","4,830","2,000","1,150","490"
"05209",,"鹿角市","11,710","5,770","3,380","1,360","790","360"
"05210",,"由利本荘市","26,860","11,680","7,280","3,920","2,330","1,090"
"05211",,"潟上市","12,210","5,800","3,470","1,500","810","400"
"05212",,"大仙市","27,120","11,110","8,070","4,150","2,450","1,120"
"05213",,"北秋田市","12,170","6,000","3,240","1,450","900","400"
"05214",,"にかほ市","8,760","3,100","2,830","1,430","960","410"
"05215",,"仙北市","9,270","4,390","2,850","1,090","490","450"
"05348",,"三種町","6,290","3,070","1,680","830","410","270"
"05434",,"美郷町","6,360","2,720","1,940","870","550","280"
"05463",,"羽後町","4,680","1,780","1,480","750","490","180"
"06201",,"山形市","99,500","34,220","26,850","16,130","10,180","5,340"
"06202",,"米沢市","32,730","12,000","8,640","4,270","2,970","1,620"
"06203",,"鶴岡市","41,340","15,110","11,870","6,460","3,930","2,530"
"06204",,"酒田市","37,720","15,220","11,090","5,630","3,420","1,610"
"06205",,"新庄市","12,210","4,870","3,410","1,750","1,060","690"
"06206",,"寒河江市","12,780","4,070","4,120","2,240","1,470","740"
"06207",,"上山市","10,710","4,140","3,100","1,680","1,050","610"
"06208",,"村山市","7,610","2,810","2,200","1,210","920","470"
"06209",,"長井市","9,250","3,370","2,430","1,550","1,130","730"
"06210",,"天童市","20,450","7,200","6,320","3,410","1,860","1,150"
"06211",,"東根市","14,440","4,490","4,600","2,820","1,600","670"
"06212",,"尾花沢市","5,080","1,950","1,590","750","470","290"
"06213",,"南陽市","10,460","3,860","3,120","1,620","1,150","620"
"06301",,"山辺町","4,500","1,630","1,000","1,060","450","330"
"06321",,"河北町","5,790","1,840","1,710","1,080","860","300"
